ID,TITLE
1,Carlos Helo
2,Jorge Romero
3,Luis Sandrini
4,Manolo Gonzalez
5,Los Caporales
6,Lucho Navarro
7,Los Flamingos Mexicanos
8,Edmundo Arrocet
9,Coco Legrand
10,Tato Cifuentes
11,Sergio Feito
12,Los Acetatos
13,Maitén Montenegro y Los Acetatos
14,Hugo Goodman
15,Maitén Montenegro
16,Los Muleros
17,Gloria Benavides
18,"Esteban ""Ronco"" Retes"
19,Jappening con ja
20,Pujillay
21,Hermógenes Conache
22,Checho Hirane
23,"Armando Navarrete ""Mandolino"""
24,Pepe Tapia
25,Ernesto Ruiz (El Tufo)
26,El Huaso Clavel
27,Klaudio Showman
28,Hugo Varela
29,Palta Meléndez
30,"Marcos ""Charola"" Pizarro"
31,Paulo Iglesias
32,Enzo Corsi
33,Platón Humor
34,Los Pitusos
35,Luis Pescetti
36,Sandy
37,Piña Colada
38,Julio Sabala
39,"Jorge ""Chino"" Navarrete"
40,El Pampero
41,Dino Gordillo
42,Los Indolatinos
43,Dinamita Show
44,"Jorge Franco ""El Náufrago"""
45,Gilberto Gless
46,Jorge Pérez
47,Pancho del Sur
48,Melón y Melame
49,Óscar Gangas
50,Sarah Sanders
51,Álvaro Salas
52,"Daniel Muñoz ""El Malo"""
53,Memo Bunke
54,"Daniel Muñoz ""El Carmelo"""
55,Memo Bunke y Natalia Cuevas
56,Millenium Show
57,Arturo Ruiz-Tagle
58,Mauricio Flores
59,Vanessa Miller
60,Natalia Cuevas
61,Felo
62,Carlos García
63,Ruperto
64,Stefan Kramer
65,Profesor Salomón y Tutu-Tutu
66,Manpoval
67,Bombo Fica
68,Ricardo Meruane
69,Zip-Zup
70,Los Atletas de la Risa
71,Nancho Parra
72,Bastián Paz
73,Los Locos del Humor
74,Jorge Alís
75,Rudy Rey
76,Gigi Martin
77,Payahop
78,Centella
79,Huaso Filomeno
80,León Murillo
81,Edo Caroe
82,Rodrigo González
83,Natalia Valdebenito
84,Pedro Ruminot
85,Juan Pablo López
86,"Daniela ""Chiqui"" Aguayo"
87,"Carlos ""El Mono"" Sánchez"
88,"Juan Luis ""Jajá"" Calderón"
89,Rodrigo Villegas
90,Fabrizio Copano
91,Jenny Cavallo
92,Alison Mandel
93,Alejandra Azcárate
94,Sergio Freire
95,Felipe Avello
96,Jani Dueñas
97,Mauricio Palma
98,Bonco Quiñongo
99,Javiera Contador
100,Ernesto Belloni
101,Fusión Humor
102,"Paul Vásquez ""El Flaco"""
103,Pamela Leiva
104,Diego Urrutia
105,Belén Mora
106,Laila Roth
107,Luis Slimming
108,Lucho Miranda
109,Alex Ortiz